# File: data.dat
# Number of data points:     2999
# NOS: Number of occupied states 
# FOS: Fraction of occupied states 
# FOS: Area occupied 
# Grid size          NOS           FOS          AREA
# Maximum and minimum x data:
# Maximum and minimum y data:
# Column 1: Number of bins (total number of states)
# Column 2: Number of occupied bins (number of occupied states)
# Column 3: Fraction of the states occupied
# Column 4: Number of states occupied relative to random distribution
# Column 5: Entropy relative to random distribution for T=298.15K in cal / mol K
         241        2075       4.30498       0.71013      -0.68016
         243        2059       4.23663       0.70417      -0.69690
         245        2075       4.23469       0.70964      -0.68152
         247        2092       4.23482       0.71472      -0.66735
         249        2117       4.25100       0.72302      -0.64442
         251        2127       4.23705       0.72619      -0.63574
         253        2132       4.21344       0.72789      -0.63107
         255        2137       4.19020       0.72935      -0.62710
         257        2149       4.18093       0.73295      -0.61733
         259        2164       4.17761       0.73806      -0.60350
         261        2173       4.16284       0.74088      -0.59594
         263        2152       4.09125       0.73322      -0.61659
         265        2159       4.07359       0.73535      -0.61081
         267        2174       4.07116       0.74021      -0.59773
         269        2193       4.07621       0.74643      -0.58112
         271        2231       4.11624       0.75936      -0.54698
         273        2226       4.07692       0.75714      -0.55279
         275        2227       4.04909       0.75748      -0.55190
         277        2243       4.04874       0.76267      -0.53835
         279        2270       4.06810       0.77158      -0.51525
         281        2256       4.01424       0.76683      -0.52754
         283        2257       3.98763       0.76717      -0.52666
         285        2264       3.97193       0.76902      -0.52186
         287        2283       3.97735       0.77548      -0.50525
         289        2284       3.95156       0.77582      -0.50438
         291        2320       3.98625       0.78751      -0.47466
         293        2315       3.95051       0.78554      -0.47962
         295        2292       3.88475       0.77748      -0.50013
         297        2304       3.87879       0.78155      -0.48976
         299        2318       3.87625       0.78603      -0.47839
         301        2317       3.84884       0.78569      -0.47925
         303        2295       3.78713       0.77797      -0.49888
         305        2305       3.77869       0.78109      -0.49092
         307        2353       3.83225       0.79736      -0.44996
         309        2354       3.80906       0.79770      -0.44912
         311        2350       3.77814       0.79634      -0.45250
         313        2372       3.78914       0.80298      -0.43600
         315        2371       3.76349       0.80291      -0.43617
         317        2364       3.72871       0.80027      -0.44271
         319        2366       3.70846       0.80068      -0.44171
         321        2369       3.69003       0.80142      -0.43986
         323        2389       3.69814       0.80819      -0.42316
         325        2386       3.67077       0.80744      -0.42498
         327        2416       3.69419       0.81704      -0.40150
         329        2420       3.67781       0.81840      -0.39821
         331        2430       3.67069       0.82178      -0.39002
         333        2432       3.65165       0.82162      -0.39040
         335        2431       3.62836       0.82101      -0.39188
         337        2424       3.59644       0.81920      -0.39627
         339        2450       3.61357       0.82798      -0.37507
         341        2447       3.58798       0.82669      -0.37818
         343        2451       3.57289       0.82804      -0.37493
         345        2467       3.57536       0.83288      -0.36335
         347        2473       3.56340       0.83519      -0.35785
         349        2462       3.52722       0.83148      -0.36671
         351        2472       3.52137       0.83429      -0.35999
         353        2479       3.51133       0.83693      -0.35370
         355        2479       3.49155       0.83665      -0.35438
         357        2485       3.48039       0.83868      -0.34957
         359        2471       3.44150       0.83339      -0.36214
         361        2510       3.47645       0.84683      -0.33035
         363        2507       3.45317       0.84582      -0.33273
         365        2515       3.44521       0.84823      -0.32707
         367        2512       3.42234       0.84722      -0.32944
         369        2530       3.42818       0.85271      -0.31659
         371        2506       3.37736       0.84491      -0.33486
         373        2521       3.37936       0.84997      -0.32300
         375        2521       3.36133       0.84968      -0.32367
